Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,fly ash,Water,superplastisizer,curing temp,DAYS,CS
562,1311,8,46,117,364,0,0,60,3,23
562,1311,8,46,117,364,0,0,60,7,29
562,1311,8,46,117,364,0,0,60,28,33
576,1344,8,42,106,331,0,0,60,3,22
576,1344,8,42,106,331,0,0,60,7,27
576,1344,8,42,106,331,0,0,60,28,32
590,1377,8,38,96,298,0,0,60,3,21
590,1377,8,38,96,298,0,0,60,7,26
590,1377,8,38,96,298,0,0,60,28,29
533,1243,10,55,138,430,0,0,60,3,26
533,1243,10,55,138,430,0,0,60,7,31
533,1243,10,55,138,430,0,0,60,28,34
547,1277,10,51,128,397,0,0,60,3,27
547,1277,10,51,128,397,0,0,60,7,33
547,1277,10,51,128,397,0,0,60,28,37
547,1277,10,51,128,397,0,0,70,3,27
547,1277,10,51,128,397,0,0,70,7,33
